행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수
1130560800,번3동,강북구,강북구,2023,16300,4794,29.41,1695.0,1127.0,35.36,1.0,10,0.852,10.399,2397.0,1.36,1.2413,495.8994,1.6802
1130561500,수유1동,강북구,강북구,2023,20251,4587,22.65,1449.0,1173.0,31.59,0.0,10,0.852,7.155,4587.0,1.0,1.2416,517.7472,1.6338
1130562500,수유2동,강북구,강북구,2023,20863,5163,24.75,1318.0,979.0,25.53,0.0,10,0.852,6.319,5163.0,1.34,1.2548,588.9575,1.5752
1130563500,수유3동,강북구,강북구,2023,23017,4828,20.98,1586.0,1148.0,32.85,1.0,10,0.852,6.892,2414.0,0.64,1.2396,498.7324,1.6468
1130564500,우이동,강북구,강북구,2023,20195,5023,24.87,1416.0,1123.0,28.19,0.0,10,0.852,7.011,5023.0,1.06,1.2515,571.4804,1.6043
1130566000,인수동,강북구,강북구,2023,29643,7276,24.55,2125.0,1632.0,29.21,6.0,10,0.852,7.171,1039.43,1.32,1.2438,532.3464,1.6071
1132051100,창제1동,도봉구,도봉구,2023,24309,4923,20.25,1223.0,902.0,24.84,0.0,21,0.909,5.03,4923.0,1.36,1.2449,278.5747,1.5541
1132051200,창제2동,도봉구,도봉구,2023,28567,5543,19.4,1294.0,904.0,23.34,2.0,21,0.909,4.528,1847.67,1.05,1.2358,285.4183,1.5242
1132051300,창제3동,도봉구,도봉구,2023,13454,3069,22.81,906.0,688.0,29.52,0.0,21,0.909,6.734,3069.0,1.35,1.233,172.0035,1.597
1132051400,창제4동,도봉구,도봉구,2023,25916,4570,17.63,945.0,744.0,20.68,0.0,21,0.909,3.646,4570.0,1.26,1.2522,260.1161,1.5112
1132051500,창제5동,도봉구,도봉구,2023,24177,4694,19.42,981.0,706.0,20.9,3.0,21,0.909,4.059,1173.5,1.34,1.2413,233.0665,1.5007
1132052100,도봉제1동,도봉구,도봉구,2023,20418,5998,29.38,1911.0,1312.0,31.86,3.0,21,0.909,9.36,1499.5,1.64,1.2404,297.5968,1.6356
1132052200,도봉제2동,도봉구,도봉구,2023,26132,6871,26.29,1681.0,1195.0,24.47,0.0,21,0.909,6.433,6871.0,1.86,1.2379,386.6187,1.5408
1132066000,쌍문제1동,도봉구,도봉구,2023,20968,4762,22.71,1144.0,838.0,24.02,4.0,21,0.909,5.455,952.4,0.84,1.2456,228.1364,1.5448
1132067000,쌍문제2동,도봉구,도봉구,2023,18259,4077,22.33,1220.0,844.0,29.92,3.0,21,0.909,6.681,1019.25,1.26,1.2473,203.4097,1.6205
1132068000,쌍문제3동,도봉구,도봉구,2023,16757,3547,21.17,974.0,665.0,27.46,1.0,21,0.909,5.813,1773.5,0.25,1.235,190.4585,1.5741
1132068100,쌍문제4동,도봉구,도봉구,2023,18308,3318,18.12,645.0,438.0,19.44,0.0,21,0.909,3.523,3318.0,1.34,1.2369,186.547,1.4774
1132069000,방학제1동,도봉구,도봉구,2023,28119,6230,22.16,1666.0,1159.0,26.74,5.0,21,0.909,5.926,1038.33,1.34,1.2288,283.5342,1.5574
1132070000,방학제2동,도봉구,도봉구,2023,19032,4640,24.38,1548.0,1073.0,33.36,1.0,21,0.909,8.133,2320.0,1.84,1.2386,249.8741,1.6518
1132071000,방학제3동,도봉구,도봉구,2023,26437,5459,20.65,998.0,693.0,18.28,2.0,21,0.909,3.775,1819.67,1.59,1.2468,283.595,1.4747
1135056000,월계1동,노원구,노원구,2023,20910,4315,20.64,1374.0,905.0,31.84,2.0,12,0.814,6.572,1438.33,0.92,1.2361,355.5848,1.6297
1135057000,월계2동,노원구,노원구,2023,25947,6104,23.52,3183.0,1495.0,52.15,0.0,12,0.814,12.266,6104.0,1.24,1.2376,581.1008,1.883
1135058000,월계3동,노원구,노원구,2023,29106,6434,22.11,2613.0,1288.0,40.61,0.0,12,0.814,8.979,6434.0,1.33,1.2394,613.4077,1.7427
1135059500,공릉1동,노원구,노원구,2023,36422,6933,19.04,1480.0,1463.0,21.35,8.0,12,0.814,4.065,770.33,0.93,1.2278,405.3494,1.4899
1135060000,공릉2동,노원구,노원구,2023,41817,5965,14.26,2407.0,903.0,40.35,1.0,12,0.814,5.754,2982.5,0.67,1.2304,524.2383,1.7269
1135061100,하계1동,노원구,노원구,2023,26568,4738,17.83,2363.0,1243.0,49.87,2.0,12,0.814,8.892,1579.33,0.85,1.2537,396.002,1.8789
