"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"장충동","저소득노인","65~79세","","2","4","4","1",
"장충동","저소득노인","80세 이상","","2","2","2","-",
"장충동","일   반","계","","209","189","205","216",
"장충동","일   반","65~79세","","144","128","135","142",
"장충동","일   반","80세 이상","","65","61","70","74",
"광희동","합계","계","","443","441","475","479",
"광희동","합계","65~79세","","349","342","367","367",
"광희동","합계","80세 이상","","94","99","108","112",
"광희동","국민기초생활보장 수급권자","계","","94","110","111","123",
"광희동","국민기초생활보장 수급권자","65~79세","","79","94","86","94",
"광희동","국민기초생활보장 수급권자","80세 이상","","15","16","25","29",
"광희동","저소득노인","계","","11","13","15","12",
"광희동","저소득노인","65~79세","","5","6","7","8",
"광희동","저소득노인","80세 이상","","6","7","8","4",
"광희동","일   반","계","","338","318","349","344",
"광희동","일   반","65~79세","","265","242","274","265",
"광희동","일   반","80세 이상","","73","76","75","79",
"을지로동","합계","계","","274","276","292","284",
"을지로동","합계","65~79세","","212","223","230","219",
"을지로동","합계","80세 이상","","62","53","62","65",
"을지로동","국민기초생활보장 수급권자","계","","78","91","91","91",
"을지로동","국민기초생활보장 수급권자","65~79세","","57","72","73","67",
"을지로동","국민기초생활보장 수급권자","80세 이상","","21","19","18","24",
"을지로동","저소득노인","계","","9","7","10","6",
"을지로동","저소득노인","65~79세","","4","3","5","2",
"을지로동","저소득노인","80세 이상","","5","4","5","4",
"을지로동","일   반","계","","187","178","191","187",
"을지로동","일   반","65~79세","","151","148","152","150",
"을지로동","일   반","80세 이상","","36","30","39","37",
"신당동","합계","계","","561","574","636","630",
"신당동","합계","65~79세","","431","439","474","483",
"신당동","합계","80세 이상","","130","135","162","147",
"신당동","국민기초생활보장 수급권자","계","","163","193","207","235",
"신당동","국민기초생활보장 수급권자","65~79세","","127","146","159","184",
"신당동","국민기초생활보장 수급권자","80세 이상","","36","47","48","51",
"신당동","저소득노인","계","","23","22","18","11",
"신당동","저소득노인","65~79세","","9","12","8","2",
"신당동","저소득노인","80세 이상","","14","10","10","9",
"신당동","일   반","계","","375","359","411","384",
"신당동","일   반","65~79세","","295","281","307","297",
"신당동","일   반","80세 이상","","80","78","104","87",
"다산동","합계","계","","713","709","765","809",
"다산동","합계","65~79세","","519","510","547","591",
"다산동","합계","80세 이상","","194","199","218","218",
"다산동","국민기초생활보장 수급권자","계","","166","190","206","237",
"다산동","국민기초생활보장 수급권자","65~79세","","118","140","127","153",
"다산동","국민기초생활보장 수급권자","80세 이상","","48","50","79","84",
