행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1138058000,응암제1동,은평구,은평구,2023,33002,5466,933.0,16.56,0.75,24.26,19.19,9.06,1093.2,0.825,17.0,308.4315,35.15
1138059000,응암제2동,은평구,은평구,2023,27724,4174,688.0,15.06,0.64,22.14,18.72,8.75,1391.33,0.825,17.0,258.141,29.49
1138060000,응암제3동,은평구,은평구,2023,23894,5780,1552.0,24.19,1.05,33.86,19.64,10.43,1445.0,0.825,17.0,345.9743,23.19
1138062500,역촌동,은평구,은평구,2023,44533,8807,1801.0,19.78,1.03,26.12,19.24,8.16,1761.4,0.825,17.0,494.0327,24.46
1138063100,신사제1동,은평구,은평구,2023,26754,5268,904.0,19.69,1.16,21.92,19.1,8.32,2634.0,0.825,17.0,342.4477,24.5
1138063200,신사제2동,은평구,은평구,2023,19283,3990,828.0,20.69,1.38,24.59,17.75,8.78,3990.0,0.825,17.0,273.6032,16.96
1138064000,증산동,은평구,은평구,2023,18516,3628,668.0,19.59,-1.77,21.53,19.91,8.33,3628.0,0.825,17.0,248.7397,15.63
1138065000,수색동,은평구,은평구,2023,13104,2391,572.0,18.25,0.62,27.1,17.06,9.79,2391.0,0.825,17.0,165.1251,12.48
1138069000,진관동,은평구,은평구,2023,54810,8745,1076.0,15.96,0.84,16.16,17.82,9.85,4372.5,0.825,17.0,572.2452,27.25
1141052000,천연동,서대문구,서대문구,2023,16734,3274,931.0,19.56,0.7,31.55,18.86,12.01,3274.0,0.908,9.0,415.2087,10.4
1141055500,북아현동,서대문구,서대문구,2023,15571,2333,562.0,14.98,0.74,28.68,18.7,9.95,1166.5,0.908,9.0,264.6895,17.43
1141056500,충현동,서대문구,서대문구,2023,19850,3480,788.0,17.53,0.67,28.36,17.78,11.28,1740.0,0.908,9.0,396.8465,22.52
1141058500,신촌동,서대문구,서대문구,2023,20366,2119,545.0,10.4,-0.17,30.49,19.98,12.71,423.8,0.908,9.0,192.8895,17.0
1141061500,연희동,서대문구,서대문구,2023,34318,5971,1365.0,17.4,0.41,24.77,19.86,11.76,1492.75,0.908,9.0,580.9324,8.02
1141062000,홍제제1동,서대문구,서대문구,2023,24747,4876,832.0,19.7,0.12,24.51,18.26,9.58,2438.0,0.908,9.0,553.426,36.21
1141064000,홍제제3동,서대문구,서대문구,2023,17712,3952,775.0,22.31,-0.27,26.67,18.81,9.85,1317.33,0.908,9.0,413.0828,30.75
